"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0145487","Wed Nov  2 23:54:47 2011","Wed Nov  2 23:54:47 2011","","Spider-Man","Feature Film","Sam Raimi","7.3","121","2002","action, adventure","469783","2002-04-30","http://www.imdb.com/title/tt0145487/"
"2","tt0316654","Wed Nov  2 23:55:12 2011","Wed Nov  2 23:55:12 2011","","Spider-Man 2","Feature Film","Sam Raimi","7.3","127","2004","action, adventure","342602","2004-06-25","http://www.imdb.com/title/tt0316654/"
"3","tt0413300","Wed Nov  2 23:55:35 2011","Wed Nov  2 23:55:35 2011","","Spider-Man 3","Feature Film","Sam Raimi","6.2","139","2007","action, adventure","322689","2007-04-16","http://www.imdb.com/title/tt0413300/"
"4","tt0133093","Wed Nov  2 23:56:13 2011","Wed Nov  2 23:56:13 2011","","The Matrix","Feature Film","The Wachowski Brothers, The Wachowski Brothers","8.7","136","1999","action, sci_fi","1030861","1999-03-31","http://www.imdb.com/title/tt0133093/"
"5","tt0234215","Wed Nov  2 23:56:20 2011","Wed Nov  2 23:56:20 2011","","The Matrix Reloaded","Feature Film","The Wachowski Brothers, The Wachowski Brothers","7.2","138","2003","action, sci_fi","382813","2003-05-07","http://www.imdb.com/title/tt0234215/"
"6","tt0242653","Wed Nov  2 23:56:27 2011","Wed Nov  2 23:56:27 2011","","The Matrix Revolutions","Feature Film","The Wachowski Brothers, The Wachowski Brothers","6.7","129","2003","action, sci_fi","330052","2003-10-27","http://www.imdb.com/title/tt0242653/"
"7","tt0120737","Thu Nov  3 00:05:21 2011","Thu Nov  3 00:05:21 2011","","The Lord of the Rings: The Fellowship of the Ring","Feature Film","Peter Jackson","8.8","178","2001","adventure, fantasy","1060484","2001-12-10","http://www.imdb.com/title/tt0120737/"
"8","tt0167261","Thu Nov  3 00:05:31 2011","Thu Nov  3 00:05:31 2011","","The Lord of the Rings: The Two Towers","Feature Film","Peter Jackson","8.8","179","2002","adventure, fantasy","931510","2002-12-05","http://www.imdb.com/title/tt0167261/"
"9","tt0167260","Thu Nov  3 00:05:35 2011","Thu Nov  3 00:05:35 2011","","The Lord of the Rings: The Return of the King","Feature Film","Peter Jackson","8.9","201","2003","adventure, fantasy","1034137","2003-12-01","http://www.imdb.com/title/tt0167260/"
"10","tt0088763","Thu Nov  3 00:05:57 2011","Thu Nov  3 00:05:57 2011","","Back to the Future","Feature Film","Robert Zemeckis","8.5","116","1985","adventure, comedy, romance, sci_fi","597500","1985-07-03","http://www.imdb.com/title/tt0088763/"
"11","tt0096874","Thu Nov  3 00:06:19 2011","Thu Nov  3 00:06:19 2011","","Back to the Future Part II","Feature Film","Robert Zemeckis","7.8","108","1989","adventure, comedy, sci_fi","273096","1989-11-22","http://www.imdb.com/title/tt0096874/"
"12","tt0099088","Thu Nov  3 00:06:31 2011","Thu Nov  3 00:06:31 2011","","Back to the Future Part III","Feature Film","Robert Zemeckis","7.4","118","1990","adventure, comedy, romance, sci_fi, western","225655","1990-05-25","http://www.imdb.com/title/tt0099088/"
"13","tt0093409","Thu Nov  3 00:06:53 2011","Thu Nov  3 00:06:53 2011","","Lethal Weapon","Feature Film","Richard Donner","7.6","110","1987","action, crime, thriller","173370","1987-03-06","http://www.imdb.com/title/tt0093409/"
"14","tt0097733","Thu Nov  3 00:06:57 2011","Thu Nov  3 00:06:57 2011","","Lethal Weapon 2","Feature Film","Richard Donner","7.2","114","1989","action, crime, thriller","113185","1989-07-07","http://www.imdb.com/title/tt0097733/"
"15","tt0104714","Thu Nov  3 00:07:02 2011","Thu Nov  3 00:07:02 2011","","Lethal Weapon 3","Feature Film","Richard Donner","6.7","118","1992","action, crime, thriller","116489","1992-05-11","http://www.imdb.com/title/tt0104714/"
"16","tt0122151","Thu Nov  3 00:07:07 2011","Thu Nov  3 00:07:07 2011","","Lethal Weapon 4","Feature Film","Richard Donner","6.6","127","1998","action, crime, thriller","116749","1998-07-10","http://www.imdb.com/title/tt0122151/"
"17","tt0095016","Thu Nov  3 00:07:57 2011","Thu Nov  3 00:07:57 2011","","Die Hard","Feature Film","John McTiernan","8.3","131","1988","action, thriller","511750","1988-07-15","http://www.imdb.com/title/tt0095016/"
"18","tt0099423","Thu Nov  3 00:08:05 2011","Thu Nov  3 00:08:05 2011","","Die Hard 2","Feature Film","Renny Harlin","7.1","124","1990","action, thriller","238217","1990-07-02","http://www.imdb.com/title/tt0099423/"
"19","tt0112864","Thu Nov  3 00:08:10 2011","Thu Nov  3 00:08:10 2011","","Die Hard: With a Vengeance","Feature Film","John McTiernan","7.6","131","1995","action, adventure, thriller","268129","1995-05-15","http://www.imdb.com/title/tt0112864/"
"20","tt0337978","Thu Nov  3 00:08:19 2011","Thu Nov  3 00:08:19 2011","","Live Free or Die Hard","Feature Film","Len Wiseman","7.2","128","2007","action, adventure, thriller","308595","2007-06-12","http://www.imdb.com/title/tt0337978/"
"21","tt1606378","Thu Nov  3 00:09:16 2011","Thu Nov  3 00:09:16 2011","","A Good Day to Die Hard","Feature Film","John Moore","5.3","98","2013","action, crime, thriller","147545","2013-02-06","http://www.imdb.com/title/tt1606378/"
"22","tt0079501","Thu Nov  3 00:09:51 2011","Thu Nov  3 00:09:51 2011","","Mad Max","Feature Film","George Miller","7.0","88","1979","action, adventure, thriller","112810","1979-04-12","http://www.imdb.com/title/tt0079501/"
"23","tt0082694","Thu Nov  3 00:09:58 2011","Thu Nov  3 00:09:58 2011","","Mad Max 2: The Road Warrior","Feature Film","George Miller","7.6","95","1981","action, adventure, thriller","99873","1981-12-24","http://www.imdb.com/title/tt0082694/"
"24","tt0089530","Thu Nov  3 00:10:04 2011","Thu Nov  3 00:10:04 2011","","Mad Max Beyond Thunderdome","Feature Film","George Miller, George Ogilvie","6.2","107","1985","action, adventure, thriller","77594","1985-06-29","http://www.imdb.com/title/tt0089530/"
"25","tt0075148","Thu Nov  3 00:10:40 2011","Thu Nov  3 00:10:40 2011","","Rocky","Feature Film","John G. Avildsen","8.1","119","1976","drama, sport","304369","1976-11-21","http://www.imdb.com/title/tt0075148/"
"26","tt0079817","Thu Nov  3 00:11:26 2011","Thu Nov  3 00:11:26 2011","","Rocky II","Feature Film","Sylvester Stallone","7.1","119","1979","action, drama, sport","110519","1979-06-15","http://www.imdb.com/title/tt0079817/"
"27","tt0084602","Thu Nov  3 00:11:54 2011","Thu Nov  3 00:11:54 2011","","Rocky III","Feature Film","Sylvester Stallone","6.7","99","1982","drama, sport","97616","1982-05-28","http://www.imdb.com/title/tt0084602/"
"28","tt0089927","Thu Nov  3 00:12:06 2011","Thu Nov  3 00:12:06 2011","","Rocky IV","Feature Film","Sylvester Stallone","6.7","91","1985","drama, sport","108805","1985-11-21","http://www.imdb.com/title/tt0089927/"
"29","tt0100507","Thu Nov  3 00:12:14 2011","Thu Nov  3 00:12:14 2011","","Rocky V","Feature Film","John G. Avildsen","5.1","104","1990","drama, sport","74414","1990-11-16","http://www.imdb.com/title/tt0100507/"
"30","tt0479143","Thu Nov  3 00:12:31 2011","Thu Nov  3 00:12:31 2011","","Rocky Balboa","Feature Film","Sylvester Stallone","7.2","102","2006","drama, sport","139112","2006-12-20","http://www.imdb.com/title/tt0479143/"
"31","tt0083944","Thu Nov  3 00:12:44 2011","Thu Nov  3 00:12:44 2011","","First Blood","Feature Film","Ted Kotcheff","7.7","93","1982","action, thriller","152707","1982-10-22","http://www.imdb.com/title/tt0083944/"
"32","tt0089880","Thu Nov  3 00:12:51 2011","Thu Nov  3 00:12:51 2011","","Rambo: First Blood Part II","Feature Film","George P. Cosmatos","6.4","96","1985","action, adventure, thriller, war","102729","1985-05-22","http://www.imdb.com/title/tt0089880/"
"33","tt0095956","Thu Nov  3 00:13:13 2011","Thu Nov  3 00:13:13 2011","","Rambo III","Feature Film","Peter MacDonald","5.7","102","1988","action, adventure, thriller, war","79756","1988-05-25","http://www.imdb.com/title/tt0095956/"
"34","tt0462499","Thu Nov  3 00:13:27 2011","Thu Nov  3 00:13:27 2011","","Rambo","Feature Film","Sylvester Stallone","7.1","92","2008","action, thriller, war","163540","2008-01-23","http://www.imdb.com/title/tt0462499/"
"35","tt0088247","Thu Nov  3 00:13:42 2011","Thu Nov  3 00:13:42 2011","","The Terminator","Feature Film","James Cameron","8.1","107","1984","action, sci_fi","501562","1984-10-26","http://www.imdb.com/title/tt0088247/"
"36","tt0103064","Thu Nov  3 00:13:47 2011","Thu Nov  3 00:13:47 2011","","Terminator 2: Judgment Day","Feature Film","James Cameron","8.5","137","1991","action, sci_fi","629902","1991-07-01","http://www.imdb.com/title/tt0103064/"
"37","tt0181852","Thu Nov  3 00:13:52 2011","Thu Nov  3 00:13:52 2011","","Terminator 3: Rise of the Machines","Feature Film","Jonathan Mostow","6.4","109","2003","action, sci_fi","260943","2003-06-30","http://www.imdb.com/title/tt0181852/"
"38","tt0438488","Thu Nov  3 00:13:58 2011","Thu Nov  3 00:13:58 2011","","Terminator Salvation","Feature Film","McG","6.7","115","2009","action, sci_fi","250034","2009-05-14","http://www.imdb.com/title/tt0438488/"
"39","tt0093870","Thu Nov  3 00:15:28 2011","Thu Nov  3 00:15:28 2011","","RoboCop","Feature Film","Paul Verhoeven","7.5","102","1987","action, sci_fi","158455","1987-07-17","http://www.imdb.com/title/tt0093870/"
"40","tt0100502","Thu Nov  3 00:15:49 2011","Thu Nov  3 00:15:49 2011","","RoboCop 2","Feature Film","Irvin Kershner","5.7","117","1990","action, sci_fi","54725","1990-06-22","http://www.imdb.com/title/tt0100502/"
"41","tt0107978","Thu Nov  3 00:16:01 2011","Thu Nov  3 00:16:01 2011","","RoboCop 3","Feature Film","Fred Dekker","3.9","104","1993","action, crime, drama, sci_fi","30769","1993-05-01","http://www.imdb.com/title/tt0107978/"
"42","tt0120903","Thu Nov  3 00:30:39 2011","Thu Nov  3 00:30:39 2011","","X-Men","Feature Film","Bryan Singer","7.4","104","2000","action, adventure, sci_fi","383756","2000-07-13","http://www.imdb.com/title/tt0120903/"
"43","tt0290334","Thu Nov  3 00:30:44 2011","Thu Nov  3 00:30:44 2011","","X2","Feature Film","Bryan Singer","7.5","134","2003","action, adventure, sci_fi, thriller","348067","2003-04-24","http://www.imdb.com/title/tt0290334/"
"44","tt0376994","Thu Nov  3 00:30:50 2011","Thu Nov  3 00:30:50 2011","","X-Men: The Last Stand","Feature Film","Brett Ratner","6.8","104","2006","action, adventure, sci_fi, thriller","327425","2006-05-22","http://www.imdb.com/title/tt0376994/"
"45","tt1270798","Thu Nov  3 00:30:55 2011","Thu Nov  3 00:30:55 2011","","X-Men: First Class","Feature Film","Matthew Vaughn","7.8","132","2011","action, adventure, sci_fi","435568","2011-05-25","http://www.imdb.com/title/tt1270798/"
"46","tt1877832","Thu Nov  3 00:32:02 2011","Thu Nov  3 00:32:02 2011","","X-Men: Days of Future Past","Feature Film","Bryan Singer","8.1","131","2014","action, adventure, sci_fi, thriller","391979","2014-05-10","http://www.imdb.com/title/tt1877832/"
"47","tt0458525","Thu Nov  3 00:31:02 2011","Thu Nov  3 00:31:02 2011","","X-Men Origins: Wolverine","Feature Film","Gavin Hood","6.7","107","2009","action, adventure, sci_fi, thriller","300922","2009-04-08","http://www.imdb.com/title/tt0458525/"
"48","tt1430132","Thu Nov  3 00:31:36 2011","Thu Nov  3 00:31:36 2011","","The Wolverine","Feature Film","James Mangold","6.7","126","2013","action, adventure, sci_fi, thriller","271963","2013-07-16","http://www.imdb.com/title/tt1430132/"
"49","tt0232500","Thu Nov  3 00:33:01 2011","Thu Nov  3 00:33:01 2011","","The Fast and the Furious","Feature Film","Rob Cohen","6.7","106","2001","action, crime, thriller","233610","2001-06-18","http://www.imdb.com/title/tt0232500/"
"50","tt0322259","Thu Nov  3 00:33:14 2011","Thu Nov  3 00:33:14 2011","","2 Fast 2 Furious","Feature Film","John Singleton","5.8","107","2003","action, crime","159636","2003-06-03","http://www.imdb.com/title/tt0322259/"
"51","tt0463985","Thu Nov  3 00:33:24 2011","Thu Nov  3 00:33:24 2011","","The Fast and the Furious: Tokyo Drift","Feature Film","Justin Lin","5.9","104","2006","action, crime, drama, thriller","148717","2006-06-04","http://www.imdb.com/title/tt0463985/"
"52","tt1013752","Thu Nov  3 00:33:35 2011","Thu Nov  3 00:33:35 2011","","Fast & Furious","Feature Film","Justin Lin","6.6","107","2009","action, crime, drama, thriller","170052","2009-03-12","http://www.imdb.com/title/tt1013752/"
