Title,My,Calculated,Performance,Cinematography,Script,Plot,Mood,Source,Title type,Directors,AVG rating,IMDb Rating,Rotten Tom.,Metacritic,Runtime (mins),Year,Genres,# of IMDb votes,IMDb Top 250,1001 Must See…,Desire to see (A-F grading),Female dir.,Bechdel,LGBTQ Russo,Good Blu-ray,Foreign dir.,Netflix/Hulu streaming,LFPL,Wild & Woolly,description,US Release Date (month/day/year),URL,Created,Modified,MIDZ,1001 position,Female
11:14,,0,,,,,,,Feature Film,Greg Marcks,79,7.2,100,65,86,2003,"comedy, crime, drama",31782,,,C,,,,,,No,Az Vu Sony,DV,,5/16/2003,http://www.imdb.com/title/tt0331811/,Fri Oct  5 07:36:50 2012,Fri Oct  5 07:36:50 2012,2740,,
24,9,0,,,,,,,TV Series,,84,8.4,,,42,2001,"action, drama, mystery, thriller",103834,,,,,,,,,,,,,11/6/2001,http://www.imdb.com/title/tt0285331/,Sun Jan  9 11:00:00 2005,Wed Aug 10 16:04:03 2011,1466,,
42,10,97,9,10,9,10,10,Th,Feature Film,Brian Helgeland,72,7.5,79,62,128,2013,"biography, drama, sport",31466,,,,,,,,,,,,,4/12/2013,http://www.imdb.com/title/tt0453562/,Fri Apr 19 11:04:52 2013,Fri Apr 19 11:04:52 2013,2013,,
300,9,0,,,,,,,Feature Film,Zack Snyder,62.6666666666667,7.7,60,51,117,2006,"action, fantasy, history, war",427025,,,,,,,,,,,,"Saw this with Grandpa near West Brandywine. Very impressive cinematography and history, but a little too cliche overall.

DATE: 2007-03-10",12/9/2006,http://www.imdb.com/title/tt0416449/,Sun Mar 25 12:00:00 2007,Wed Aug 10 16:04:04 2011,1563,,
360,7,0,,,,,,,Feature Film,Fernando Meirelles,59,5.9,,,110,2011,"drama, romance",8599,,,,,,,,,,,,,9/9/2011,http://www.imdb.com/title/tt1680045/,Wed Jun 12 18:46:05 2013,Wed Jun 12 18:46:05 2013,2044,,
1408,8,0,,,,,,,Feature Film,Mikael Håfström,69.6666666666667,6.7,78,64,104,2007,"horror, mystery",157360,,,,,,,,,,,,"Nate and Jonny rented. Enjoyed the first half.

DATE: 2008-05-18",6/12/2007,http://www.imdb.com/title/tt0450385/,Mon May 19 12:00:00 2008,Wed Aug 10 16:04:04 2011,1598,,
1900,,0,,,,,,,Feature Film,Bernardo Bertolucci,76,7.6,,,317,1976,"drama, history",13460,,Y,,,,,,,,,,,5/21/1976,http://www.imdb.com/title/tt0074084/,,,445,382,
1911,,0,,,,,,,Feature Film,"Li Zhang, Jackie Chan",58,5.8,,,121,2011,"action, adventure, drama, history, war",3494,,,,,,,,,,,,,9/23/2011,http://www.imdb.com/title/tt1772230/,Sun Jan 15 15:22:45 2012,Sun Jan 15 15:22:45 2012,2722,,
1984,,0,,,,,,,Feature Film,Michael Anderson,69,6.9,,,90,1956,"drama, sci_fi",1548,,,,,,,,,,,,,3/6/1956,http://www.imdb.com/title/tt0048918/,Wed Mar 28 11:00:00 2001,Wed Aug 10 16:04:02 2011,2118,,
2012,7,0,,,,,,,Feature Film,Roland Emmerich,57,5.7,,,158,2009,"action, adventure, sci_fi",197055,,,,,,,,,,,,,11/11/2009,http://www.imdb.com/title/tt1190080/,Fri Feb 11 11:00:00 2011,Wed Aug 10 16:04:04 2011,1839,,
45365,,0,,,,,,,Documentary,"Bill Ross IV, Turner Ross",83.6666666666667,6.9,94,88,90,2009,documentary,137,,,,,,,,,no,no,no,"Daily life in Sidney, Ohio",2009-03,http://www.imdb.com/title/tt1337139/,Wed Jun 30 12:00:00 2010,Wed Aug 10 16:04:04 2011,2620,,
(500) Days of Summer,8,0,,,,,,,Feature Film,Marc Webb,80.3333333333333,7.8,87,76,95,2009,"comedy, drama, romance",250532,,,,,,,,,,,,,1/17/2009,http://www.imdb.com/title/tt1022603/,Sat Jan 16 11:00:00 2010,Wed Aug 10 16:04:04 2011,1741,,
*batteries not included,,0,,,,,,,Feature Film,Matthew Robbins,63.5,6.3,64,n/a,106,1987,"comedy, drama, family, fantasy, sci_fi",17453,,,B,,3?,,,,,,,,12/18/1987,http://www.imdb.com/title/tt0092494/,Tue Jun 26 12:00:00 2001,Wed Aug 10 16:04:03 2011,1225,,
¡Cuatro!,8,80,8,8,8,8,8,Qello,Documentary,Tim Wheeler,84,8.4,n/a,,75,2012,documentary,50,,,recent,,,,,,,,,,,,12/8/2013,12/8/2013,2947,,
100 Cameras,7,0,,,,,,,Documentary,,36,3.6,,,15,2000,documentary,70,,,,,,,,,,,,,2000,http://www.imdb.com/title/tt0370237/,Fri Jun  7 21:16:37 2013,Fri Jun  7 21:16:37 2013,2039,,
100 Feet,7,0,,,,,,,Feature Film,Eric Red,55,5.5,,,96,2008,"horror, thriller",8272,,,,,,,,,,,,,7/24/2008,http://www.imdb.com/title/tt0899128/,Wed Oct 28 12:00:00 2009,Wed Aug 10 16:04:04 2011,1691,,
100 Greatest Artists of All Time,9,0,,,,,,,TV Series,,66,6.6,,,300,2010,music,14,,,,,,,,,,,,,9/5/2010,http://www.imdb.com/title/tt1703873/,Thu Feb  3 11:00:00 2011,Wed Aug 10 16:04:04 2011,1834,,
12 Angry Men,,0,,,,,,,Feature Film,Sidney Lumet,94.5,8.9,100,n/a,96,1957,drama,253799,Y,Y,A,,0,,,,DVD,"LFPL Main, Az AzBlu",,,4/10/1957,http://www.imdb.com/title/tt0050083/,,,703,504,
127 Hours,9,0,,,,,,,Feature Film,Danny Boyle,77,7.7,,,94,2010,"adventure, biography, drama, thriller",193051,,,,,,,,,,,,,9/4/2010,http://www.imdb.com/title/tt1542344/,Fri Dec 31 11:00:00 2010,Wed Aug 10 16:04:04 2011,1821,,
13 Ghosts,,0,,,,,,,Feature Film,William Castle,60,6,,,85,1960,horror,2712,,,,,,,,,,,,,1960-07,http://www.imdb.com/title/tt0053559/,Thu Oct 25 12:00:00 2001,Wed Aug 10 16:04:03 2011,2180,,
13 Going on 30,7,0,,,,,,,Feature Film,Gary Winick,60,6,,,98,2004,"comedy, fantasy, romance",79267,,,,,,,,,,,,"Too many impossibles, but still a pretty cute movie.  Megan definitely liked it.

DATE: 2004-05-01",4/14/2004,http://www.imdb.com/title/tt0337563/,Sat May  1 12:00:00 2004,Wed Aug 10 16:04:03 2011,1427,,
17 Again,8,0,,,,,,,Feature Film,Burr Steers,63,6.3,,,102,2009,"comedy, drama, fantasy, romance",95287,,,,,,,,,,,,,3/11/2009,http://www.imdb.com/title/tt0974661/,Thu Dec  3 11:00:00 2009,Wed Aug 10 16:04:04 2011,1712,,
2 Days in the Valley,,0,,,,,,,Feature Film,John Herzfeld,64,6.4,,,104,1996,"comedy, crime",13562,,,,,,,,,,,,,9/12/1996,http://www.imdb.com/title/tt0115438/,Fri Feb 27 11:00:00 2004,Wed Aug 10 16:04:03 2011,1415,,
2 or 3 Things I Know About Her,,0,,,,,,,Feature Film,Jean-Luc Godard,68,6.8,,,87,1967,"comedy, drama",3230,,Y,,,,,,,,,,,3/17/1967,http://www.imdb.com/title/tt0060304/,,,574,723,
20 Centimeters,,0,,,,,,,Feature Film,RamÃ³n Salazar,67,6.7,,,112,2005,"comedy, musical",1284,,,,,,,,,,,,,4/29/2005,http://www.imdb.com/title/tt0421528/,Fri May 22 12:00:00 2009,Wed Aug 10 16:04:03 2011,2523,,
2001: A Space Odyssey,9,97,9,10,9,10,10,,Feature Film,Stanley Kubrick,88.6666666666667,8.3,97,86,160,1968,"adventure, mystery, sci_fi",274938,,Y,,,,,Y,,,,,,4/2/1968,http://www.imdb.com/title/tt0062622/,Tue Apr 24 12:00:00 2001,Wed Aug 10 16:04:03 2011,1198,548,
21 Grams,,0,,,,,,,Feature Film,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,77,7.7,,,124,2003,"crime, drama, thriller",145645,,,,,,,,,,,,,9/5/2003,http://www.imdb.com/title/tt0315733/,Fri Oct 31 11:00:00 2003,Wed Aug 10 16:04:03 2011,2378,,
25th Hour,,0,,,,,,,Feature Film,Spike Lee,77,7.7,,,135,2002,"crime, drama",119453,,,,,,,,,,,,,12/16/2002,http://www.imdb.com/title/tt0307901/,Sun Jul 17 12:00:00 2011,Wed Aug 10 16:04:04 2011,2698,,
28 Days Later...,8,0,,,,,,,Feature Film,Danny Boyle,76,7.6,,,113,2002,"horror, sci_fi, thriller",215022,,,,,,,,,,,,,11/1/2002,http://www.imdb.com/title/tt0289043/,Tue Apr 22 12:00:00 2008,Wed Aug 10 16:04:04 2011,1594,,
3 hommes et un couffin,,0,,,,,,,Feature Film,Catherine Breillat,64,6.4,,,106,1985,comedy,1895,,,,Y,,,,Fr.,,,,,31308,http://www.imdb.com/title/tt0090206/,,,1063,,
3:10 to Yuma,9,0,,,,,,,Feature Film,James Mangold,77,7.7,,,122,2007,"adventure, crime, drama, western",181047,,,,,,,,,,,,"Downloaded.

DATE: 2008-05-01",8/21/2007,http://www.imdb.com/title/tt0381849/,Thu May  1 12:00:00 2008,Wed Aug 10 16:04:04 2011,1595,,
30 Days of Night,9,0,,,,,,,Feature Film,David Slade,65,6.5,,,113,2007,"horror, thriller",107160,,,,,,,,,,,,"Hollywood theater with Dustin and Michael. Had a red slurpee to create a bloody mouth look... Fun film!

DATE: 2007-11-09",10/16/2007,http://www.imdb.com/title/tt0389722/,Sat Nov 10 11:00:00 2007,Wed Aug 10 16:04:04 2011,1579,,
35 Shots of Rum,,0,,,,,,,Feature Film,Claire Denis,85.6666666666667,6.9,96,92,100,2008.75,,2260,,,B,Y,3,,,Fr.,,Az DVD,DVD,,,,,,1076,,
4 Little Girls,,0,,,,,,,Documentary,Spike Lee,88.5,7.7,100,,102,1997,"documentary, history",1768,,,B,,,,,,,,,,7/9/1997,http://www.imdb.com/title/tt0118540/,Sun Feb  2 11:00:00 2003,Wed Aug 10 16:04:03 2011,2311,,
42nd Street,,0,,,,,,,Feature Film,Lloyd Bacon,76,7.6,,,89,1933,"comedy, musical, romance",6039,,Y,,,,,,,,,,,3/8/1933,http://www.imdb.com/title/tt0024034/,,,942,906,
47 Ronin,8,83,8,8,9,9,8,Stonybrook theater,Feature Film,Carl Rinsch,67,6.7,,,118,2013,"action, adventure, fantasy",11882,,,recent,,,,,,,,,,,,1/6/2014,,2959,,
49 Up,9,0,,,,,,,Documentary,"Michael Apted, Paul Almond",77,7.7,,,180,2005,"documentary, biography",1702,,,,,,,,,,,,,9/15/2005,http://www.imdb.com/title/tt0473434/,Wed Mar 27 21:42:24 2013,Wed Mar 27 21:42:24 2013,1999,,
50 First Dates,8,0,,,,,,,Feature Film,Peter Segal,67,6.7,,,99,2004,"comedy, romance",187731,,,,,,,,,,,,"Very well done with the movie's concept.  Sandler's bag-o-actors is getting to be a distraction, though.

DATE: 2004-02-22",2/13/2004,http://www.imdb.com/title/tt0343660/,Sun Feb 22 11:00:00 2004,Wed Aug 10 16:04:03 2011,1413,,
61*,,0,,,,,,,TV Movie,Billy Crystal,77,7.7,,,129,2001,"biography, drama, history, sport",10247,,,,,,,,,,,,,4/28/2001,http://www.imdb.com/title/tt0250934/,Fri Apr 25 12:00:00 2003,Wed Aug 10 16:04:03 2011,2329,,
8 Mile,8,0,,,,,,,Feature Film,Curtis Hanson,68,6.8,,,110,2002,"drama, music",126518,,,,,,,,,,,,,9/8/2002,http://www.imdb.com/title/tt0298203/,Mon Mar  4 11:00:00 2002,Wed Aug 10 16:04:03 2011,1306,,
8 Women,,0,,,,,,,Feature Film,FranÃ§ois Ozon,70,7,,,111,2002,"musical, comedy, crime, mystery",19459,,,,,,,,,,,,,1/8/2002,http://www.imdb.com/title/tt0283832/,Wed Oct 21 12:00:00 2009,Wed Aug 10 16:04:03 2011,2546,,
8½,,0,,,,,,,Feature Film,Federico Fellini,89,8.1,97,n/a,138,1963,"drama, fantasy",52101,Y,Y,B,,?,,,,Ne,,,,2/14/1963,http://www.imdb.com/title/tt0056801/,Mon Nov 17 11:00:00 2003,Wed Aug 10 16:04:03 2011,621,534,
A Beautiful Mind,9,0,,,,,,,Feature Film,Ron Howard,81,8.1,,,135,2001,"biography, drama",344078,,,,,,,,,,,,,12/13/2001,http://www.imdb.com/title/tt0268978/,Mon Jan 28 11:00:00 2002,Wed Aug 10 16:04:03 2011,1284,,
A Boy and His Dog,,0,,,,,,,Feature Film,L.Q. Jones,65,6.5,,,91,1975,"comedy, drama, sci_fi, thriller",9588,,,,,,,,,,,,,1975-03,http://www.imdb.com/title/tt0072730/,Sun Feb 28 11:00:00 2010,Wed Aug 10 16:04:04 2011,2594,,
A Brief History of Time,,0,,,,,,,Documentary,Errol Morris,74,7.4,,,80,1991,"documentary, biography",2229,,,,,,,,,,,,,1991-10,http://www.imdb.com/title/tt0103882/,Mon Sep 20 12:00:00 2004,Wed Aug 10 16:04:03 2011,2442,,
A Bug's Life,9,0,,,,,,,Feature Film,"John Lasseter, Andrew Stanton",72,7.2,,,95,1998,"animation, adventure, comedy, family",146704,,,,,,,,,,,,,11/14/1998,http://www.imdb.com/title/tt0120623/,Sun Oct 27 11:00:00 2002,Wed Aug 10 16:04:03 2011,1346,,
A Chinese Ghost Story,,0,,,,,,,Feature Film,Siu-Tung Ching,74,7.4,,,98,1987,"action, comedy, fantasy, romance, thriller",5086,,Y,,,,,,,,,,,7/18/1987,http://www.imdb.com/title/tt0093978/,,,311,163,
A Christmas Story,,0,,,,,,,Feature Film,Bob Clark,80,8,,,94,1983,"comedy, family",76747,,Y,,,,,,,,,,,11/18/1983,http://www.imdb.com/title/tt0085334/,,,359,335,
A City of Sadness,,0,,,,,,,Feature Film,Hsiao-hsien Hou,77,7.7,,,157,1989,drama,1764,,Y,,,,,,,,,,,9/4/1989,http://www.imdb.com/title/tt0096908/,,,272,72,
A Clockwork Orange,?,0,,,,,,,Feature Film,Stanley Kubrick,84,8.4,,,136,1971,"crime, drama, sci_fi",342842,Y,Y,C,,,,,,,,,,12/19/1971,http://www.imdb.com/title/tt0066921/,,,507,242,
A Close Shave,8,0,,,,,,,Short Film,Nick Park,82,8.2,,,30,1995,"animation, comedy, crime, family",23137,,,,,,,,,,,,,12/24/1995,http://www.imdb.com/title/tt0112691/,Mon Oct 29 11:00:00 2001,Wed Aug 10 16:04:03 2011,1266,,
A Colt Is My Passport,,0,,,,,,,Feature Film,Takashi Nomura,74,7.4,,,84,1967,"action, crime, drama",591,,,,,,,,,,,,,1967,http://www.imdb.com/title/tt0330536/,Sun Oct  6 17:06:10 2013,Sun Oct  6 17:06:10 2013,2814,,
A Day in the Country,8,80,9,9,7,7,8,Criterion Hulu only!,Short Film,Jean Renoir,89,7.8,100,,40,1936,"drama, romance",2489,,Y,recent,,,,,,Hulu,,,,1936,http://www.imdb.com/title/tt0028445/,,10/19/2013,920,839,
A Dry White Season,,0,,,,,,,Feature Film,Euzhan Palcy,77,6.8,86,,107,1989,"drama, history, thriller",2643,,,B,Y,,,,Mart.,DVD,Vu AzDVD,,,,,,,1025,,
A Few Good Men,10,0,,,,,,,Feature Film,Rob Reiner,76,7.6,,,138,1992,"crime, drama, mystery, thriller",135696,,,,,,,,,,,,,12/9/1992,http://www.imdb.com/title/tt0104257/,Sun Oct 21 12:00:00 2007,Wed Aug 10 16:04:04 2011,1577,,
A Fish Called Wanda,?,0,,,,,,,Feature Film,Charles Crichton,76,7.6,,,108,1988,"comedy, crime",83231,,Y,B,,,,,,,,,,7/7/1988,http://www.imdb.com/title/tt0095159/,,,291,106,
A Good Day to Die Hard,8,0,,,,,,,Feature Film,John Moore,53,5.3,,,98,2013,"action, crime, thriller",102928,,,,,,,,,,,,,2/7/2013,http://www.imdb.com/title/tt1606378/,Thu Feb 14 18:49:09 2013,Thu Feb 14 18:49:09 2013,1979,,
A Good Woman,,0,,,,,,,Feature Film,Mike Barker,64,6.4,,,93,2004,"drama, comedy, romance",7682,,,,,,,,,,,,,9/15/2004,http://www.imdb.com/title/tt0379306/,Wed Apr 28 12:00:00 2004,Wed Aug 10 16:04:03 2011,2421,,
A Hard Day's Night,,0,,,,,,,Feature Film,Richard Lester,75,7.5,,,87,1964,"comedy, musical",23656,,Y,,,,,,,,,,,7/6/1964,http://www.imdb.com/title/tt0058182/,,,613,655,
A High Wind in Jamaica,,0,,,,,,,Feature Film,Alexander Mackendrick,66,6.6,,,103,1965,"adventure, drama",1010,,,,,,,,,,,,,6/4/1965,http://www.imdb.com/title/tt0059269/,Mon Apr 12 12:00:00 2004,Wed Aug 10 16:04:03 2011,2417,,
A Home at the End of the World,,0,,,,,,,Feature Film,Michael Mayer,65,6.5,,,97,2004,"drama, romance",10442,,,,,,,,,,,,,6/9/2004,http://www.imdb.com/title/tt0359423/,Sat Apr 13 13:40:57 2013,Sat Apr 13 13:40:57 2013,2772,,
A Jihad for Love,,0,,,,,,,Documentary,Parvez Sharma,66,6.6,,,81,2007,documentary,482,,,,,,,,,,,,,9/9/2007,http://www.imdb.com/title/tt0780046/,Mon Apr 13 12:00:00 2009,Wed Aug 10 16:04:03 2011,2521,,
